year,band,fdi_variant,c_remit,c_travel,c_comp,c_fdi,c_eo,total_eur_m,gdp_eur_m,provisional,provisional_reason,has_denominator,pct_gdp,eo_pct_gdp,vintage
2022,maximal_attribution,excl_reinvested,1222.959738787726,1875.273837481384,286.51549208333034,573.0277383886378,120.30510193886293,4078.081908679941,8895.728,TRUE,CBK services revision announced for September 2026,TRUE,45.843149753229206,1.3523918665101153,2026-08
2023,maximal_attribution,excl_reinvested,1335.7617347693517,2206.984851875772,338.09324161875935,546.3965414210189,220.59798296501262,4647.834352649915,9680.068,TRUE,CBK services revision announced for September 2026,TRUE,48.014480400859945,2.278888773973619,2026-08
2024,maximal_attribution,excl_reinvested,1355.0109741965643,2425.2492331586272,416.1313129609344,665.1772520602613,244.3160034998276,5105.884775876215,10350.373,TRUE,CBK services revision announced for September 2026,TRUE,49.33044225436335,2.360456028974295,2026-08
2025,maximal_attribution,excl_reinvested,1413.6938427110174,3224.335671895354,470.4200594591064,868.7757201840241,223.6554712626417,6200.880765512144,NA,TRUE,"CBK annual figure preliminary; p marker carried in cell formatting, not machine-readable",FALSE,NA,NA,2026-08
2004,maximal_attribution,incl_reinvested,357,73.42,142.26000000000002,39.410000000000004,128.78999999999982,740.8799999999999,NA,FALSE,NA,FALSE,NA,NA,2026-08
2005,maximal_attribution,incl_reinvested,418.02,88.17999999999999,145.2,82.42,174.71000000000032,908.5300000000003,NA,FALSE,NA,FALSE,NA,NA,2026-08
2006,maximal_attribution,incl_reinvested,467.15,109.26,146.53,216.01000000000002,240.9499999999999,1179.8999999999999,NA,FALSE,NA,FALSE,NA,NA,2026-08
2007,maximal_attribution,incl_reinvested,588.5331733023289,146.35795199999995,154.86,327.746177001235,203.18566804658198,1420.682970350146,NA,FALSE,NA,FALSE,NA,NA,2026-08
2008,maximal_attribution,incl_reinvested,608.7208974220822,177.61752838211083,175.42,278.476300827005,162.3902968075414,1402.6250234387394,3537.599,FALSE,NA,TRUE,39.64906772753891,4.590409959058146,2026-08
2009,maximal_attribution,incl_reinvested,585.6950810833681,277.62524217161973,168.71,264.2594806779998,164.40142230328064,1460.6912262362682,3610.441,FALSE,NA,TRUE,40.45741853242494,4.5534997609234065,2026-08
2010,maximal_attribution,incl_reinvested,584.3270289766,327.7180919181751,171.60921223638377,331.0877032977214,197.5827986995324,1612.3248351284126,4030.991,FALSE,NA,TRUE,39.99822463330761,4.901593645322761,2026-08
2011,maximal_attribution,incl_reinvested,492.5233890762786,531.6368213665871,208.2116163074622,345.20069495378414,191.81584107566343,1769.3883627797754,4555.903,FALSE,NA,TRUE,38.83727030140403,4.210270523223682,2026-08
2012,maximal_attribution,incl_reinvested,516.3555060867394,636.8204191063201,214.2580147615626,202.68680231214148,47.776968880836016,1617.8977111475995,4797.278,FALSE,NA,TRUE,33.72532738664716,0.9959182870126769,2026-08
2013,maximal_attribution,incl_reinvested,573.3924234432263,647.5213183697434,218.894936844641,176.04024115536475,12.09966652328751,1627.948586336263,5071.333,FALSE,NA,TRUE,32.10099960574987,0.23858946993398997,2026-08
2014,maximal_attribution,incl_reinvested,622.2788801821025,665.5860254169886,200.3987285460607,116.58822077773587,218.3997313841221,1823.2515863070098,5325.095,FALSE,NA,TRUE,34.238855575478176,4.10133023700276,2026-08
2015,maximal_attribution,incl_reinvested,665.4869067088507,719.7448967612011,205.6733654979705,228.0247324221759,159.0638115931142,1977.9937129833124,5674.422,FALSE,NA,TRUE,34.85806506783092,2.8031720515871785,2026-08
2016,maximal_attribution,incl_reinvested,690.9570559588526,901.4341820639057,194.20487941361841,182.5128013631094,268.1301672551051,2237.239086054591,6037.273,FALSE,NA,TRUE,37.05711313791162,4.441246358332729,2026-08
2017,maximal_attribution,incl_reinvested,759.1885427504003,1112.1043488352595,217.26193125984517,232.69523666433417,89.45215679145912,2410.7022163012984,6356.456,FALSE,NA,TRUE,37.92525609083581,1.4072646265695712,2026-08
2018,maximal_attribution,incl_reinvested,800.4554206980118,1228.1892508695314,237.043697827977,263.28173377489463,193.02147205467804,2721.991575225093,6671.522,FALSE,NA,TRUE,40.800158872669435,2.8932149523703594,2026-08
2019,maximal_attribution,incl_reinvested,851.7475720463405,1321.3653083752272,257.13471039723805,238.1847958142371,247.2461413839868,2915.6785280170297,7056.172,FALSE,NA,TRUE,41.32096734627543,3.5039698774914614,2026-08
2020,maximal_attribution,incl_reinvested,980.1120144323588,628.0178460344106,262.3801628708485,322.00479477954434,-107.33325032910327,2085.181567788059,6771.601,FALSE,NA,TRUE,30.79303650330342,-1.5850498328106348,2026-08
2021,maximal_attribution,incl_reinvested,1153.4420032218243,1490.0945145853302,263.4306859563957,389.88869725792904,267.5456457149431,3564.4015467364225,7957.876,TRUE,CBK services revision announced for September 2026,TRUE,44.790865637218054,3.362023305150056,2026-08
2022,maximal_attribution,incl_reinvested,1222.959738787726,1875.273837481384,286.51549208333034,619.3660463921013,120.30510193886293,4124.420216683405,8895.728,TRUE,CBK services revision announced for September 2026,TRUE,46.364054933822224,1.3523918665101153,2026-08
2023,maximal_attribution,incl_reinvested,1335.7617347693517,2206.984851875772,338.09324161875935,695.4180640626049,220.59798296501262,4796.8558752915005,9680.068,TRUE,CBK services revision announced for September 2026,TRUE,49.55394812610305,2.278888773973619,2026-08
2024,maximal_attribution,incl_reinvested,1355.0109741965643,2425.2492331586272,416.1313129609344,768.420356958585,244.3160034998276,5209.127880774538,10350.373,TRUE,CBK services revision announced for September 2026,TRUE,50.327924228185196,2.360456028974295,2026-08
2025,maximal_attribution,incl_reinvested,1413.6938427110174,3224.335671895354,470.4200594591064,1017.4556090531444,223.6554712626417,6349.560654381264,NA,TRUE,"CBK annual figure preliminary; p marker carried in cell formatting, not machine-readable",FALSE,NA,NA,2026-08
2004,maximal_attribution,directional,357,73.42,142.26000000000002,NA,128.78999999999982,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2005,maximal_attribution,directional,418.02,88.17999999999999,145.2,NA,174.71000000000032,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2006,maximal_attribution,directional,467.15,109.26,146.53,NA,240.9499999999999,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2007,maximal_attribution,directional,588.5331733023289,146.35795199999995,154.86,NA,203.18566804658198,NA,NA,FALSE,NA,FALSE,NA,NA,2026-08
2008,maximal_attribution,directional,608.7208974220822,177.61752838211083,175.42,NA,162.3902968075414,NA,3537.599,FALSE,NA,TRUE,NA,4.590409959058146,2026-08
2009,maximal_attribution,directional,585.6950810833681,277.62524217161973,168.71,NA,164.40142230328064,NA,3610.441,FALSE,NA,TRUE,NA,4.5534997609234065,2026-08
2010,maximal_attribution,directional,584.3270289766,327.7180919181751,171.60921223638377,NA,197.5827986995324,NA,4030.991,FALSE,NA,TRUE,NA,4.901593645322761,2026-08
2011,maximal_attribution,directional,492.5233890762786,531.6368213665871,208.2116163074622,NA,191.81584107566343,NA,4555.903,FALSE,NA,TRUE,NA,4.210270523223682,2026-08
2012,maximal_attribution,directional,516.3555060867394,636.8204191063201,214.2580147615626,195.29924599999998,47.776968880836016,1610.510154835458,4797.278,FALSE,NA,TRUE,33.57133263562083,0.9959182870126769,2026-08
2013,maximal_attribution,directional,573.3924234432263,647.5213183697434,218.894936844641,181.05420299999997,12.09966652328751,1632.9625481808982,5071.333,FALSE,NA,TRUE,32.199868322212296,0.23858946993398997,2026-08
2014,maximal_attribution,directional,622.2788801821025,665.5860254169886,200.3987285460607,165.336347,218.3997313841221,1871.999712529274,5325.095,FALSE,NA,TRUE,35.154297013091295,4.10133023700276,2026-08
2015,maximal_attribution,directional,665.4869067088507,719.7448967612011,205.6733654979705,199.43490519036047,159.0638115931142,1949.403885751497,5674.422,FALSE,NA,TRUE,34.354228250057844,2.8031720515871785,2026-08
2016,maximal_attribution,directional,690.9570559588526,901.4341820639057,194.20487941361841,177.77926730864723,268.1301672551051,2232.5055520001292,6037.273,FALSE,NA,TRUE,36.9787079696434,4.441246358332729,2026-08
2017,maximal_attribution,directional,759.1885427504003,1112.1043488352595,217.26193125984517,211.26956928863638,89.45215679145912,2389.2765489256003,6356.456,FALSE,NA,TRUE,37.588186702237856,1.4072646265695712,2026-08
2018,maximal_attribution,directional,800.4554206980118,1228.1892508695314,237.043697827977,314.30446237838254,193.02147205467804,2773.014303828581,6671.522,FALSE,NA,TRUE,41.564942809580494,2.8932149523703594,2026-08
2019,maximal_attribution,directional,851.7475720463405,1321.3653083752272,257.13471039723805,278.12945453325534,247.2461413839868,2955.623186736048,7056.172,FALSE,NA,TRUE,41.8870626557296,3.5039698774914614,2026-08
2020,maximal_attribution,directional,980.1120144323588,628.0178460344106,262.3801628708485,278.7821935996189,-107.33325032910327,2041.9589666081336,6771.601,FALSE,NA,TRUE,30.154744300618624,-1.5850498328106348,2026-08
2021,maximal_attribution,directional,1153.4420032218243,1490.0945145853302,263.4306859563957,448.29816526740296,267.5456457149431,3622.811014745896,7957.876,TRUE,CBK services revision announced for September 2026,TRUE,45.52484877555137,3.362023305150056,2026-08
2022,maximal_attribution,directional,1222.959738787726,1875.273837481384,286.51549208333034,646.4628973774121,120.30510193886293,4151.517067668716,8895.728,TRUE,CBK services revision announced for September 2026,TRUE,46.66866014415814,1.3523918665101153,2026-08
2023,maximal_attribution,directional,1335.7617347693517,2206.984851875772,338.09324161875935,580.3064260811185,220.59798296501262,4681.744237310015,9680.068,TRUE,CBK services revision announced for September 2026,TRUE,48.36478666585829,2.278888773973619,2026-08
2024,maximal_attribution,directional,1355.0109741965643,2425.2492331586272,416.1313129609344,699.1733596853164,244.3160034998276,5139.88088350127,10350.373,TRUE,CBK services revision announced for September 2026,TRUE,49.6588952253341,2.360456028974295,2026-08
2025,maximal_attribution,directional,1413.6938427110174,3224.335671895354,470.4200594591064,921.770151890025,223.6554712626417,6253.875197218144,NA,TRUE,"CBK annual figure preliminary; p marker carried in cell formatting, not machine-readable",FALSE,NA,NA,2026-08
