DATAFLOW,LAST UPDATE,freq,hhcomp,rskpovth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CY,2025,6.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2005,12.6,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2006,11.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2007,9.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2008,8.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2009,7.5,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2010,6.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2011,9.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2012,9.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2013,8.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2014,8.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2015,7.2,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2016,5.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2017,5.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2018,4.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2019,3.4,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2020,2.8,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2021,2.7,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2022,4.0,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2023,7.1,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2024,6.3,,
ESTAT:ILC_MDES01(1.0),08/06/26 23:00:00,A,A1,A_60,PC,CZ,2025,5.7,,
