Year/month,Groups and subgroups,Annual index changes by main groups and subgroups
2010M05,"04.5. Electricity, gas and other fuels",-0.6
2010M04,"04.5. Electricity, gas and other fuels",1.8
2010M03,"04.5. Electricity, gas and other fuels",8.7
2010M02,"04.5. Electricity, gas and other fuels",7.8
2010M01,"04.5. Electricity, gas and other fuels",8.4
2009M12,"04.5. Electricity, gas and other fuels",6.7
2009M11,"04.5. Electricity, gas and other fuels",6.3
2009M10,"04.5. Electricity, gas and other fuels",8.6
2009M09,"04.5. Electricity, gas and other fuels",-2
2009M08,"04.5. Electricity, gas and other fuels",0.3
2009M07,"04.5. Electricity, gas and other fuels",0.1
2009M06,"04.5. Electricity, gas and other fuels",2.2
2009M05,"04.5. Electricity, gas and other fuels",3.7
2009M04,"04.5. Electricity, gas and other fuels",5.5
2009M03,"04.5. Electricity, gas and other fuels",3.8
2009M02,"04.5. Electricity, gas and other fuels",5.3
2009M01,"04.5. Electricity, gas and other fuels",5.5
2008M12,"04.5. Electricity, gas and other fuels",8.2
2008M11,"04.5. Electricity, gas and other fuels",8.8
2008M10,"04.5. Electricity, gas and other fuels",5.9
2008M09,"04.5. Electricity, gas and other fuels",6.9
2008M08,"04.5. Electricity, gas and other fuels",6.2
2008M07,"04.5. Electricity, gas and other fuels",7.2
2008M06,"04.5. Electricity, gas and other fuels",6.1
2008M05,"04.5. Electricity, gas and other fuels",7.2
2008M04,"04.5. Electricity, gas and other fuels",3
2008M03,"04.5. Electricity, gas and other fuels",5.3
2008M02,"04.5. Electricity, gas and other fuels",3.9
2008M01,"04.5. Electricity, gas and other fuels",2.2
2007M12,"04.5. Electricity, gas and other fuels",0.4
2007M11,"04.5. Electricity, gas and other fuels",0.4
2007M10,"04.5. Electricity, gas and other fuels",0.3
2007M09,"04.5. Electricity, gas and other fuels",-1.3
2007M08,"04.5. Electricity, gas and other fuels",-0.7
2007M07,"04.5. Electricity, gas and other fuels",-1.9
2007M06,"04.5. Electricity, gas and other fuels",-1.9
2007M05,"04.5. Electricity, gas and other fuels",-3.8
2007M04,"04.5. Electricity, gas and other fuels",-2.1
2007M03,"04.5. Electricity, gas and other fuels",-2.4
2007M02,"04.5. Electricity, gas and other fuels",-2.1
2007M01,"04.5. Electricity, gas and other fuels",-1.2
2006M12,"04.5. Electricity, gas and other fuels",-2.4
2006M11,"04.5. Electricity, gas and other fuels",-2.9
2006M10,"04.5. Electricity, gas and other fuels",-1.2
2006M09,"04.5. Electricity, gas and other fuels",-1.5
2006M08,"04.5. Electricity, gas and other fuels",-1.5
2006M07,"04.5. Electricity, gas and other fuels",-2.4
2006M06,"04.5. Electricity, gas and other fuels",-2.7
2006M05,"04.5. Electricity, gas and other fuels",-3.3
2006M04,"04.5. Electricity, gas and other fuels",-5.3
2006M03,"04.5. Electricity, gas and other fuels",-1.4
2006M02,"04.5. Electricity, gas and other fuels",-0.8
2006M01,"04.5. Electricity, gas and other fuels",-3.7
2005M12,"04.5. Electricity, gas and other fuels",-3.4
2005M11,"04.5. Electricity, gas and other fuels",-3.4
2005M10,"04.5. Electricity, gas and other fuels",-5.6
2005M09,"04.5. Electricity, gas and other fuels",-3.8
2005M08,"04.5. Electricity, gas and other fuels",-4.6
2005M07,"04.5. Electricity, gas and other fuels",-2.7
2005M06,"04.5. Electricity, gas and other fuels",-4
2005M05,"04.5. Electricity, gas and other fuels",-5.2
2005M04,"04.5. Electricity, gas and other fuels",-2.2
2005M03,"04.5. Electricity, gas and other fuels",-2.9
2005M02,"04.5. Electricity, gas and other fuels",-1.8
2005M01,"04.5. Electricity, gas and other fuels",0.5
2004M12,"04.5. Electricity, gas and other fuels",2.6
2004M11,"04.5. Electricity, gas and other fuels",2.2
2004M10,"04.5. Electricity, gas and other fuels",2.8
2004M09,"04.5. Electricity, gas and other fuels",5.4
2004M08,"04.5. Electricity, gas and other fuels",4.2
2004M07,"04.5. Electricity, gas and other fuels",2
2004M06,"04.5. Electricity, gas and other fuels",2.9
2004M05,"04.5. Electricity, gas and other fuels",5.1
2004M04,"04.5. Electricity, gas and other fuels",4
2004M03,"04.5. Electricity, gas and other fuels",-1.4
2004M02,"04.5. Electricity, gas and other fuels",-2.1
2004M01,"04.5. Electricity, gas and other fuels",-1.9
2003M12,"04.5. Electricity, gas and other fuels",-2.3
2003M11,"04.5. Electricity, gas and other fuels",-1.6
2003M10,"04.5. Electricity, gas and other fuels",-2.1
2003M09,"04.5. Electricity, gas and other fuels",-4.9
2003M08,"04.5. Electricity, gas and other fuels",-2.3
2003M07,"04.5. Electricity, gas and other fuels",-0.3
2003M06,"04.5. Electricity, gas and other fuels",0.9
2003M05,"04.5. Electricity, gas and other fuels",0.6
